product_id,product_name,product_url,reviewer_name,rating,sentiment,confidence,score,roberta_label,method,title,review_text,date,verified_purchase,helpful_count
5074609968,,https://www.walmart.com/ip/NIKA-SKIN-CARE-Anti-Aging-Intensive-Treatment-Botox-Alternative-Moisturizer-Collagen-Matrixyl-Argireline-Peptides-Hyaluronic-Acid-Collagen-Retinol-Ap/5074609968?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.7439,0.128,negative,roberta,,It came and I couldn't get anything out of it. Then they wanted me to bring it back to return it.,,False,0
15433174513,,https://www.walmart.com/ip/HopeRock-Girls-Toy-Set-Unicorn-Toys-Princess-Christmas-Birthday-Gift-for-Kids-Toddlers-4-5-6-7-8-9-Years/15433174513?classType=REGULAR&adsRedirect=true,Anonymous,0.0,neutral,0.8149,0.5,neutral,roberta,Customer ratings & reviews,"Customer ratings & reviews
1 out of 5
1 out of 5 stars
stars
1 rating
|
0 reviews
How item rating is calculated
5 stars
0% (0)
4 stars
0% (0)
3 stars
0% (0)
2 stars
0% (0)
1 star
100% (1)
Filtered and sorted results would be available on the new 'Customer ratings & reviews' page.
All filters
Star rating
Verified purchases only
Sort by | Most relevant
This item does not have any reviews yet",,True,0
15433174513,,https://www.walmart.com/ip/HopeRock-Girls-Toy-Set-Unicorn-Toys-Princess-Christmas-Birthday-Gift-for-Kids-Toddlers-4-5-6-7-8-9-Years/15433174513?classType=REGULAR&adsRedirect=true,Anonymous,,neutral,0.852,0.5,neutral,roberta,,"4.363157894736842 stars out of 5, based on 380 seller reviews
(4.4)
380 seller reviews",,False,0
340552874,,https://www.walmart.com/ip/8-LED-Lighted-Wall-Mount-Plug-in-Two-Sided-Makeup-Vanity-Mirror-Matte-Black-1X-10X-Magnification-by-Fixsen/340552874?classType=VARIANT&adsRedirect=true,Anonymous,,negative,0.7984,0.1008,negative,roberta,Light doesn't work out of the box,I'm mounted it to the wall and plugged it in and turned it on and the light doesn't work.,,False,0
12299365301,,https://www.walmart.com/ip/Mooyam-Turmeric-Exfoliating-Cleansing-Pads-50-Pcs-For-Facial-Cleansing-Exfoliation-Removal-of-Dirt-and-Make-Up-Residue/12299365301?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.7719,0.114,negative,roberta,face scrub,"small enough for travel, but each wipe too flimsy. Although looks yellow, not sure it is turmeric does not smell of turmeric",,False,0
12299365301,,https://www.walmart.com/ip/Mooyam-Turmeric-Exfoliating-Cleansing-Pads-50-Pcs-For-Facial-Cleansing-Exfoliation-Removal-of-Dirt-and-Make-Up-Residue/12299365301?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.9166,0.0417,negative,roberta,Defective packaging,Product defective. Foil on bottle has a space and all the liquid leaked out. Might try to buy again one day,,False,0
102006556,,https://www.walmart.com/ip/Eufora-Smooth-n-Frizz-Control-Shampoo-8-45oz-250ml/102006556?classType=REGULAR&adsRedirect=true,Anonymous,0.0,neutral,0.8149,0.5,neutral,roberta,Customer ratings & reviews,"Customer ratings & reviews
1 out of 5
1 out of 5 stars
stars
1 rating
|
0 reviews
How item rating is calculated
5 stars
0% (0)
4 stars
0% (0)
3 stars
0% (0)
2 stars
0% (0)
1 star
100% (1)
Filtered and sorted results would be available on the new 'Customer ratings & reviews' page.
All filters
Star rating
Verified purchases only
Sort by | Most relevant
This item does not have any reviews yet",,True,0
102006556,,https://www.walmart.com/ip/Eufora-Smooth-n-Frizz-Control-Shampoo-8-45oz-250ml/102006556?classType=REGULAR&adsRedirect=true,Anonymous,,neutral,0.8323,0.5,neutral,roberta,,"4.380597014925373 stars out of 5, based on 402 seller reviews
(4.4)
402 seller reviews",,False,0
596322644,,https://www.walmart.com/ip/Therapro-Mediceuticals-Solv-X-Oily-Scalp-Hair-Treatment-Shampoo-w-Wide-Tooth-Comb-8-45-oz/596322644?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.9346,0.0327,negative,roberta,Don't waste your money!,It doesn't work ! My hair became more oily with this product than the products sold in store. Don't waste your money.! And it smells bad. It has a chemical smell .,,False,0
14665402960,,https://www.walmart.com/ip/Botanic-Hearth-Mandarin-Orange-and-Honey-Body-wash-16-fl-oz/14665402960?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.7312,0.1344,negative,roberta,"Great smell, pump doesn't work",I bought the space on reviews look good was excited to get it. It smelled well. But after I put it together and put it in the come to find out the pump doesn't work. It doesn't work at all and now it's useless. Bummed.,,False,0
940059214,,https://www.walmart.com/ip/Truly-Free-Refillable-Non-Toxic-Dish-Soap-2-Pack-Liquid-Dish-Soap-Harmful-Ingredients-Includes-Empty-16-oz-Bottle-2-Refills-each-make-16-oz/940059214?classType=VARIANT&adsRedirect=true,Anonymous,,negative,0.8085,0.0958,negative,roberta,,"I haven't been able to try the product yet, but so far I'm disappointed by the photos and description… REFILLABLE means that it should include a container to refill, as shown in the pictures. I read carefully before ordering and made sure there was not a separate container available for purchase from the same seller to include in my order. There was not, so I ordered based on the main photo and item specifications. If it doesn't include a container, change the description and exclude it from the photo. I checked the company's website after delivery and the same product with the same photos states it includes a container. Not sure if I will keep this since I'll need to buy a container of some sort. I can't find this brand specifically for purchase by itself.",,False,0
8268013120,,https://www.walmart.com/ip/IMAGE-Skincare-Ageless-Total-Pure-Hyaluronic-Filler-1-oz/8268013120?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.883,0.0585,negative,roberta,Incomplete order,This is only a portion of my order. Still waiting on two other items....,,False,0
5402969308,,https://www.walmart.com/ip/REF-Leave-In-Serum-4-22-oz/5402969308?classType=REGULAR&adsRedirect=true,Anonymous,0.0,neutral,0.8149,0.5,neutral,roberta,Customer ratings & reviews,"Customer ratings & reviews
1 out of 5
1 out of 5 stars
stars
1 rating
|
0 reviews
How item rating is calculated
5 stars
0% (0)
4 stars
0% (0)
3 stars
0% (0)
2 stars
0% (0)
1 star
100% (1)
Filtered and sorted results would be available on the new 'Customer ratings & reviews' page.
All filters
Star rating
Verified purchases only
Sort by | Most relevant
This item does not have any reviews yet",,True,0
5402969308,,https://www.walmart.com/ip/REF-Leave-In-Serum-4-22-oz/5402969308?classType=REGULAR&adsRedirect=true,Anonymous,,neutral,0.8323,0.5,neutral,roberta,,"4.380597014925373 stars out of 5, based on 402 seller reviews
(4.4)
402 seller reviews",,False,0
200102148,,https://www.walmart.com/ip/Majestic-Pure-Gold-Facial-Mask-Help-Reduces-the-Appearances-of-Fine-Lines-and-Wrinkles-Ancient-Gold-Face-Mask-Formula-8-8-Oz/200102148?classType=REGULAR&adsRedirect=true\,Anonymous,,positive,0.9803,0.9901,positive,roberta,Love this product,I love putting this on my skin. My skin looks vibrant after. Ive notice my skin looks tighter too.,,False,0
200102148,,https://www.walmart.com/ip/Majestic-Pure-Gold-Facial-Mask-Help-Reduces-the-Appearances-of-Fine-Lines-and-Wrinkles-Ancient-Gold-Face-Mask-Formula-8-8-Oz/200102148?classType=REGULAR&adsRedirect=true\,Anonymous,,neutral,0.5722,0.5,neutral,roberta,,"Wasnt filled all the way like pictured, maybe like 1/4 missing",,False,0
200102148,,https://www.walmart.com/ip/Majestic-Pure-Gold-Facial-Mask-Help-Reduces-the-Appearances-of-Fine-Lines-and-Wrinkles-Ancient-Gold-Face-Mask-Formula-8-8-Oz/200102148?classType=REGULAR&adsRedirect=true\,Anonymous,,negative,0.9234,0.0383,negative,roberta,RIPP OFF COMPANY,ordered a product arrived USED NO EMAIL OR CHAT SUPPORT CUSTOMER SERVICE ON THE PHONE PROMISED A REFUND THEN DID NOT PROCESS IT CALLED AGAIN SHE LIED AND GAVE ME THE RUN AROUND AND REFUSED TO CONNECT ME WITH A MANAGER,,False,0
932418720,,https://www.walmart.com/ip/SPA-REDI-Clay-Mask-Mandarin-128-Oz-Pedicure-Body-Deep-Cleansing-Skin-Pore-Purifying-Detoxifying-Hydrating-Natural-Bentonite-Clay-Infused-with-Amino-A/932418720?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.9037,0.0481,negative,roberta,waste my time,"After 14 days from my order, I didn't get it",,False,0
833677124,,https://www.walmart.com/ip/Dr-Jart-CRYO-RUBBER-WITH-SOOTHING-ALLANTOIN-MASK/833677124?classType=REGULAR,Anonymous,,positive,0.9536,0.9768,positive,roberta,Treat yourself,These masks make your skin feel so soft and refreshed.,,False,0
833677124,,https://www.walmart.com/ip/Dr-Jart-CRYO-RUBBER-WITH-SOOTHING-ALLANTOIN-MASK/833677124?classType=REGULAR,Anonymous,,negative,0.9432,0.0284,negative,roberta,Waste,This mask was missing the cream and fell off of my face almost immediately. Total waste of money.,,False,0
2610221756,,https://www.walmart.com/ip/TTdayup-Rustic-Shabby-Chic-Vase-Flower-Finish-Galvanized-Milk-Can-Handle-Vintage-Farmhouse-Vase-French-Bucket-Centerpieces-Handle-Light-Grey/2610221756?classType=VARIANT&adsRedirect=true,Anonymous,,positive,0.9745,0.9873,positive,roberta,I love this little milk can!,"This milk can is SO adorable! I didn't realize that the color isn't white - it's actually a very soft light blue, but that makes me love it even more! The item description says it isn't waterproof, but the seller actually put a clear plastic container inside in case you want to add fresh flowers. I just used mine for silk ivy, but it just too cute for words! 🫠",,False,0
17751374851,,https://www.walmart.com/ip/TOOTH-BITS-Mouthwash-Tablets/17751374851?classType=REGULAR&adsRedirect=true,Anonymous,,negative,0.4731,0.2634,negative,roberta,,If your mouth burns with liquid freshener this will too!!,,False,0
13386873104,,https://www.walmart.com/ip/Better-Homes-Gardens-9-8-White-Handled-Ceramic-Vase/13386873104?classType=REGULAR&from=/search,Anonymous,,positive,0.9653,0.9827,positive,roberta,Very nice. Definitely recommend,Absolutely beautiful. Slightly taller than the home decor 3 handled vase. The finish is smooth and has a slight sheen (not matte no matter what the description said) on this better homes %26 garden vase. I have them on different display shelves and they look nice without being matchy matchy.,,False,0
13386873104,,https://www.walmart.com/ip/Better-Homes-Gardens-9-8-White-Handled-Ceramic-Vase/13386873104?classType=REGULAR&from=/search,Anonymous,,positive,0.9781,0.989,positive,roberta,Love the texture!!,"I recently added the Better Homes %26 Gardens 9.8” White Handled Ceramic Vase to my formal dining table, and it's such a beautiful piece. The texture and matte white color give it a clean, elegant look that fits perfectly with my decor. It looks much more high-end than the price suggests! I especially love the subtle detailing and the handles — they give the vase a timeless, slightly rustic feel that works in both modern and traditional settings. My only wish is that it came in a larger size, especially for use as a centerpiece on bigger tables. Still, it's a lovely accent piece and a great value. I'd definitely buy it again or grab another if they release a taller version.",,False,0
13386873104,,https://www.walmart.com/ip/Better-Homes-Gardens-9-8-White-Handled-Ceramic-Vase/13386873104?classType=REGULAR&from=/search,Anonymous,,positive,0.9815,0.9907,positive,roberta,,I Love the vase very much. The color and height goes well with my other decorations on top of my dresser. It can go alone or with some twigs or flower arrangements.,,False,0
13386873104,,https://www.walmart.com/ip/Better-Homes-Gardens-9-8-White-Handled-Ceramic-Vase/13386873104?classType=REGULAR&from=/search,Anonymous,,positive,0.9652,0.9826,positive,roberta,A very nice vase,"Very nice vase or display piece. Rivals a $60 vase I had my eye on. Not quite as large as I had hoped, but it will do the trick the finishes a little brighter than expected.",,False,0
